county_name,year,population,fips_code
".Randolph County, Alabama",2020,22093.0,
".Randolph County, Alabama",2021,22157.0,
".Randolph County, Alabama",2022,22442.0,
".Randolph County, Alabama",2023,22789.0,
".Randolph County, Alabama",2024,23067.0,
".Russell County, Alabama",2020,59252.0,
".Russell County, Alabama",2021,58651.0,
".Russell County, Alabama",2022,58522.0,
".Russell County, Alabama",2023,58792.0,
".Russell County, Alabama",2024,58837.0,
".St. Clair County, Alabama",2020,91687.0,
".St. Clair County, Alabama",2021,92850.0,
".St. Clair County, Alabama",2022,93879.0,
".St. Clair County, Alabama",2023,95487.0,
".St. Clair County, Alabama",2024,96927.0,
".Shelby County, Alabama",2020,223915.0,
".Shelby County, Alabama",2021,227436.0,
".Shelby County, Alabama",2022,230140.0,
".Shelby County, Alabama",2023,233593.0,
".Shelby County, Alabama",2024,235969.0,
".Sumter County, Alabama",2020,12192.0,
".Sumter County, Alabama",2021,11960.0,
".Sumter County, Alabama",2022,11894.0,
".Sumter County, Alabama",2023,11737.0,
".Sumter County, Alabama",2024,11607.0,
".Talladega County, Alabama",2020,81416.0,
".Talladega County, Alabama",2021,80556.0,
".Talladega County, Alabama",2022,80674.0,
".Talladega County, Alabama",2023,81083.0,
".Talladega County, Alabama",2024,81375.0,
".Tallapoosa County, Alabama",2020,41288.0,
".Tallapoosa County, Alabama",2021,41084.0,
".Tallapoosa County, Alabama",2022,40910.0,
".Tallapoosa County, Alabama",2023,40709.0,
".Tallapoosa County, Alabama",2024,40699.0,
".Tuscaloosa County, Alabama",2020,232651.0,
".Tuscaloosa County, Alabama",2021,236699.0,
".Tuscaloosa County, Alabama",2022,237995.0,
".Tuscaloosa County, Alabama",2023,239204.0,
".Tuscaloosa County, Alabama",2024,241212.0,
".Walker County, Alabama",2020,65141.0,
".Walker County, Alabama",2021,64552.0,
".Walker County, Alabama",2022,64408.0,
".Walker County, Alabama",2023,64845.0,
".Walker County, Alabama",2024,65260.0,
".Washington County, Alabama",2020,15331.0,
".Washington County, Alabama",2021,15226.0,
".Washington County, Alabama",2022,15098.0,
".Washington County, Alabama",2023,15040.0,
".Washington County, Alabama",2024,15018.0,
".Wilcox County, Alabama",2020,10533.0,
".Wilcox County, Alabama",2021,10411.0,
".Wilcox County, Alabama",2022,10124.0,
".Wilcox County, Alabama",2023,9925.0,
".Wilcox County, Alabama",2024,9865.0,
".Winston County, Alabama",2020,23488.0,
".Winston County, Alabama",2021,23639.0,
".Winston County, Alabama",2022,23741.0,
".Winston County, Alabama",2023,23673.0,
".Winston County, Alabama",2024,23869.0,
".Apache County, Arizona",2020,65917.0,
".Apache County, Arizona",2021,65396.0,
".Apache County, Arizona",2022,65470.0,
".Apache County, Arizona",2023,65121.0,
".Apache County, Arizona",2024,64800.0,
".Cochise County, Arizona",2020,125533.0,
